[06/08/2017:07:06:07 CEST +02:00] | Benutzer ''@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Nein) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:09 CEST +02:00] | php_network_getaddresses: getaddrinfo failed: Der angegebene Host ist unbekannt.  () | NTRNX_MYSQLI\pconnect | 32
[06/08/2017:07:06:09 CEST +02:00] | Error on setting path to file "". () | NTRNX_MYSQLI\ssl_set | 27
[06/08/2017:07:06:10 CEST +02:00] | Benutzer ''@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Nein) () | NTRNX_MYSQLI\real_connect | 35
[06/08/2017:07:06:13 CEST +02:00] | php_network_getaddresses: getaddrinfo failed: Der angegebene Host ist unbekannt.  () | NTRNX_MYSQLI\real_pconnect | 35
[06/08/2017:07:06:13 CEST +02:00] | Benutzer ''@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Nein) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:16 CEST +02:00] | php_network_getaddresses: getaddrinfo failed: Der angegebene Host ist unbekannt.  () | NTRNX_MYSQLI\pconnect | 32
[06/08/2017:07:06:16 CEST +02:00] | Error on setting path to file "". () | NTRNX_MYSQLI\ssl_set | 27
[06/08/2017:07:06:17 CEST +02:00] | Benutzer ''@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Nein) () | NTRNX_MYSQLI\real_connect | 35
[06/08/2017:07:06:19 CEST +02:00] | php_network_getaddresses: getaddrinfo failed: Der angegebene Host ist unbekannt.  () | NTRNX_MYSQLI\real_pconnect | 35
[06/08/2017:07:06:11 CEST +02:00] | Benutzer ''@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Nein) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:00 CEST +02:00] | Benutzer ''@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Nein) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:10 CEST +02:00] | Benutzer ''@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Nein) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:53 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:09 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:20 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:37 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:26 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:15 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:27 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:07:06:23 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:44 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:01 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:44 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:49 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:04 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:12 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:17 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:28 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:29 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\real_connect | 35
[06/08/2017:08:06:30 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\real_pconnect | 35
[06/08/2017:08:06:05 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:19 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:20 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\real_connect | 35
[06/08/2017:08:06:21 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\real_pconnect | 35
[06/08/2017:08:06:01 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[06/08/2017:08:06:05 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[08/13/2017:11:08:12 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[08/13/2017:11:08:13 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\real_connect | 35
[08/13/2017:11:08:15 CEST +02:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\real_pconnect | 35
[12/02/2017:12:12:17 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) () | NTRNX_MYSQLI\connect | 32
[01/25/2018:15:01:45 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:15:01:09 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:15:01:24 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:15:01:38 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:15:01:18 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:16:01:29 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:16:01:49 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:16:01:15 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:16:01:44 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
[01/25/2018:16:01:02 CET +01:00] | Benutzer 'ntrnx_mysqli_class_test'@'localhost' hat keine Zugriffsberechtigung (verwendetes Passwort: Ja) (1045) | NTRNX_MYSQLI\connect | 32
